title,company,contract_type,description,min_workload,max_workload,min_salary,max_salary
Consultant Microsoft 365 / Modern Workplace,Online Consulting AG,Festanstellung,"Das wirst du machen Bereit für den ultimativen Microsoft 365 Tech-Boost? Als Microsoft Cloud Consultant bist du der Superheld, der unsere Kunden in die Welt der digitalen Transformation führt. Du wirst ihre Herausforderungen lösen, Bedürfnisse erkennen und individuelle M365 Lösungen präsentieren.     Was wir bieten     Attraktiver Standort   Flexible Arbeitszeiten   Frische Früchte, Kaffee & Tee   Internationale Arbeitsumgebung   Weiterbildungen   Teamevents     Deine Aufgaben     Tech-Whisperer: Du berätst Kunden bei der Auswahl, Umsetzung und Optimierung von Microsoft 365, als hättest du eine direkte Leitung zur Cloud.  Lösungsarchitekt: Du erschaffst massgeschneiderte Lösungen.  Lehrmeister: Du vermittelst Wissen wie ein Jedi-Meister und führst Schulungen und Workshops für unsere Kunden durch.  Problemknacker: Bei technischen Herausforderungen machst du Sherlock Holmes Konkurrenz und findest stets eine Lösung.  Knowledge-Spreader: Du hältst dich ständig auf dem Laufenden und teilst dein Wissen mit unseren #proudOnlinern.          Das bringst du mit     Microsoft 365 Virtuose: Du kennst dich aus mit Copilot, Teams, SharePoint und der Microsoft Cloud wie kein Anderer  Kundenflüsterer: Du bist nicht nur ein Technik-Genie, sondern auch ein Kommunikations-Ass.  Lösungsakrobat: Du zauberst Lösungen aus dem Hut, während andere noch rätseln.  Teamplayer: Du liebst es in einem dynamischen Team und Umfeld zu arbeiten.      Deine Chance Als Teil unseres Teams wirst du mit hochmodernen Technologien arbeiten, kontinuierlich lernen & dich weiterentwickeln. Du wirst Teil einer Kultur sein, die Innovation & Teamarbeit fördert sowie dir die Chance bietet, die Zukunft der KI & Cloud Leading Edge zu gestalten.Bereit für die Mission? Zeig’ uns, was du drauf hast! #M365Superhero",80,100,84000,102000
IT Supporter 80-100% (m/w/d),konekkt GmbH,Festanstellung,"konekkt verbindet talentierte IT Fachkräfte mit spannenden Herausforderungen. Bei konekkt bist Du richtig, wenn Du nah betreut werden und Deine Karriere nachhaltig planen willst. Wir helfen Dir dabei, indem wir Deine Präferenzen und Wünsche aufnehmen und Dir dadurch die für Dich passendsten Arbeitgeber und Positionen bereitstellen. Um unseren hochstehenden Service mit höchster Qualität anbieten zu können, bringen wir die richtigen Fähigkeiten und Erfahrungen mit. Durch unser tiefes IT-Knowhow kennen wir aktuelle Trends sowie etablierte Technologien, wodurch wir unsere Kunden und Kandidaten zum bestmöglichen nächsten Schritt beraten können. Wir freuen uns auf die Zusammenarbeit mit Dir! Hier suchen wir für unseren Partner eine/n IT Supporter 80-100% (m/w/d)     Deine Aufgaben:   1st- und 2nd-Level-IT-Support Fehlersuche und Behebung von technischen Problemen Installation, Konfiguration und Wartung von Computerhardware und -software Zusammenarbeit mit anderen IT-Teammitgliedern und Abteilungen   Dein Profil:   Abgeschlossene Ausbildung zum Informatiker EFZ Mehr als 2 Jahre Erfahrung in der Betreuung von Windows-Clients Kommunikation, Zusammenarbeit und zwischenmenschliche Fähigkeiten Fliessende Deutschkenntnisse in Wort und Schrift und gute Englischkenntnisse sind erforderlich",100,100,65000,85000
Avaloq Developer (m/w/d) 80-100%,konekkt GmbH,Festanstellung,"Tritt einem führenden IT-Dienstleister bei, der massgeblich die digitale Transformation im Bereich Avaloq und Digital Banking vorantreibt. Unser Partnerunternehmen ist wegweisend im Bereich IT-Services und nimmt eine herausragende Stellung in der Avaloq- und Digital Banking-Branche ein. In einem inspirierenden Umfeld, das Kreativität, Innovation und technische Exzellenz hochschätzt, erhältst du die ideale Plattform, um deine Fähigkeiten zu erweitern. Schliesse dich unserem Team an und gestalte aktiv die Zukunft der IT-Landschaft im spezifischen Kontext von Avaloq und Digital Banking mit.     Deine Aufgaben:    Unsere Avaloq Entwickler:innen arbeiten eng mit den Stakeholdern zusammen, um den spezifischen Avaloq-Bereich gezielt weiterzuentwickeln. Sie beherrschen die Sprache des Business und engagieren sich aktiv in der gemeinsamen Lösungsentwicklung. Leitung von IT-Projekten im Bereich des Avaloq Kernbankensystems, mit Verantwortung für Analyse, Implementierung und Projektmanagement. Konzeption, Parametrierung und Betreuung von Bankanwendungen in Avaloq sowie verschiedenen Umsystemen im Rahmen des Change Managements. Vorbereitung und Durchführung von technischen und applikatorischen Tests.    Dein Profil:    Avaloq-Ausbildung und -Zertifizierung mit entsprechender Programmier- und Projekterfahrung Abgeschlossene Informatikausbildung Proaktive Persönlichkeit und ein hohes Mass an Qualitätsbewusstsein und Eigeninitiative",80,100,105000,125000
Frontend Entwickler 80-100% (m/w/d),konekkt GmbH,Festanstellung,"konekkt verbindet talentierte IT Fachkräfte mit spannenden Herausforderungen. Bei konekkt bist Du richtig, wenn Du nah betreut werden und Deine Karriere nachhaltig planen willst. Wir helfen Dir dabei, indem wir Deine Präferenzen und Wünsche aufnehmen und Dir dadurch die für Dich passendsten Arbeitgeber und Positionen bereitstellen. Um unseren hochstehenden Service mit höchster Qualität anbieten zu können, bringen wir die richtigen Fähigkeiten und Erfahrungen mit. Durch unser tiefes IT-Knowhow kennen wir aktuelle Trends sowie etablierte Technologien, wodurch wir unsere Kunden und Kandidaten zum bestmöglichen nächsten Schritt beraten können. Wir freuen uns auf die Zusammenarbeit mit Dir! Hier suchen wir für unseren Partner eine/n Frontend Entwickler 80-100% (m/w/d)     Deine Aufgaben:   Festlegung der Struktur und des Designs von Webseiten Entwicklung von Funktionen zur Verbesserung des Benutzererlebnisses Erstellung von wiederverwendbarem Code für die zukünftige Nutzung Verwendung einer Vielzahl von Auszeichnungssprachen zum Schreiben von Webseiten   Dein Profil:   Erforderlich ist ein Bachelor- oder Master-Abschluss in Informatik, Ingenieurwissenschaften oder einem verwandten Fachgebiet Vier oder mehr Jahre Erfahrung in der Entwicklung von Java-Anwendungen Kenntnisse in der Front-End-Entwicklung: Angular, Bootstrap, Java Script, HTML 5, CSS",100,100,95000,115000
Projektleiter,Ascaion AG,Festanstellung,"Deine Aufgaben  Unterstützung Pre-Sale durch Anforderungsmanagement, Projektkonzeption und Erarbeitung von Projektplänen Enge Zusammenarbeit mit externen Stakeholdern und internen Dienstleistern Bereitstellung kundenorientierter Lösungen auf der Basis unserer Standard-Software Absidion Leitung und Koordination von IT-Projekten auf der Basis agiler Frameworks Überwachung der Budgets und Ressourcenverwaltung Teilnahme an Kunden-Events (jährlich)  Du bringst mit  Motivation, Neugier und Lust auf Erfolge für den Kunden, Ascaion und Dich Ausgeprägte Analyse- und Problemlösungsfähigkeiten Zertifzierungen für Scrum Master, Hermes, PRINCE2, PMI oder vergleichbare Ausbildungen Deutsche Sprache in Wort und Schrift min Level C1 und Englisch Level B2,Französisch C1 oder idealerweise Muttersprache Aufenthalts- und Arbeitsbewilligung in der Schweiz (C/B/G) Einwilligung zur Sicherheitsüberprüfung falls vom Kunden (öffentliche Hand) gewünscht  Wir bieten  Arbeitsort Stäfa mit Blick auf den Zürisee Home Office nach Einarbeitung und Leistungsnachweis jederzeit möglich Zeitgemässe Sozialleistungen und Ferien",60,100,80000,140000
